oil_proxy,rpoil,woprod,woinv,wip,usip,uscpi
7.575744377358138e-12,-1.8883153850722465,-11.452884649329917,-104.42309615732108,-53.48538237942273,-47.25308830203471,-88.87962289718837
7.575744377358138e-12,10.880983530533626,-9.91022539671144,-102.52910792450257,-52.47777817059392,-46.96700547313338,-88.3574284990732
7.575744377358138e-12,10.361501842823202,-6.892860161897488,-100.11514951162792,-52.37210718217972,-46.93295597958888,-87.83794681136277
7.575744377358138e-12,10.01667391493163,-5.963280181752907,-100.17575239657344,-51.359342011456874,-45.47626896175251,-87.4931188834712
7.575744377358138e-12,9.501651317300059,-3.521031699923469,-102.05245998981115,-50.981321400526326,-44.4432399195091,-86.97809628583963
7.575744377358138e-12,8.98926761731309,-12.965154589901658,-100.45077868121814,-50.53659270957405,-44.987869845174544,-86.46571258585266
7.575744377358138e-12,7.972309700350195,-6.466554162667535,-100.4156146447541,-50.46612165382459,-43.48820846930914,-85.44875466888976
7.575744377358138e-12,7.467682893587778,-5.6536950894055735,-100.20022140186495,-49.88741697142876,-42.22251371689026,-84.94412786212735
7.575744377358138e-12,6.798784078508106,-7.232892170523655,-94.89589521143421,-49.938426960218806,-41.32176998575312,-84.27522904704773
7.575744377358138e-12,6.466005069240623,-10.481860902199287,-91.8896705309154,-49.59865745825175,-40.45284271027941,-83.94245003778019
7.575744377358138e-12,5.9689037970385925,-8.95568581895941,-89.62802649940966,-49.55821327663767,-39.72770074696649,-83.44534876557816
7.575744377358138e-12,5.474261403506034,-10.884303615798217,-87.76452679227873,-50.066301264763524,-39.57407416234139,-82.9507063720456
7.575744377358138e-12,11.593156194169467,-9.47088880244064,-84.6510187544526,-49.426865834458226,-39.5482912582782,-82.4584986515028
7.575744377358138e-12,11.266358517707829,-7.394189233138832,-86.498024217482,-49.13019224414609,-39.07510853392159,-82.13170097504121
7.575744377358138e-12,10.778155757977004,-7.607433795412362,-86.0318974912957,-49.19403872330679,-38.87745765068746,-81.64349821531033
7.575744377358138e-12,10.130904307415278,-5.704407933110815,-84.24640535472736,-49.16879738621731,-38.77787915141312,-80.9962467647486
7.575744377358138e-12,9.64820023258369,-3.7005016708592393,-82.2274575811872,-48.363913445966546,-38.62251092949958,-80.51354268991702
7.575744377358138e-12,9.008198048036888,-13.190629856734404,-82.51484384256457,-48.553271804234896,-40.015831813484795,-79.87354050537027
7.575744377358138e-12,8.530870172771131,-10.574588649892803,-82.13265425408986,-48.897123472557666,-39.52795162663733,-79.39621263010451
7.575744377358138e-12,7.8979566676063655,-9.703939575176946,-80.78676828034145,-48.12244197787868,-37.64592282742933,-78.7632991249398
7.575744377358138e-12,7.112406673575492,-8.194534360280386,-81.221526936999,-45.85671915710003,-35.57562637352697,-77.97774913090888
7.575744377358138e-12,6.177820431751741,-9.91022539671144,-83.96099579831991,-46.56836061882592,-35.22146108768038,-77.04316288908512
7.575744377358138e-12,5.405615822360687,-7.574084342868218,-80.9693692532577,-46.020048065115304,-34.532577333751874,-76.27095827969407
7.575744377358138e-12,4.639328547803757,-8.286843350177378,-78.33324788967946,-45.68863555893199,-34.575110551494504,-75.50467100513708
7.575744377358138e-12,4.030498661078241,-6.94917579594312,-79.68171610141735,-45.05769731775075,-34.19773392959303,-74.89584111841162
7.575744377358138e-12,3.1241480457435387,-3.4970199820900234,-76.75418618301433,-44.30156920122346,-33.94662099803543,-73.98949050307692
7.575744377358138e-12,2.225938414160794,-2.8127140170379334,-76.332390676567,-43.976469064152695,-33.13865687171511,-73.09128087149418
7.575744377358138e-12,1.6315830240760079,-2.5777186723123577,-75.596023861057,-43.34650343691294,-32.38983921468389,-72.49692548140933
7.575744377358138e-12,1.0407393554593796,-4.763063566180335,-74.34706279590444,-41.822038042382644,-31.841438771055152,-71.9060818127927
7.575744377358138e-12,0.1609682851064349,-7.296049717456526,-76.42039676025752,-43.675278448903725,-32.488507390011875,-71.02631074243982
7.575744377358138e-12,5.661220057020046,-6.757170440257823,-74.1396352912094,-42.70977586168294,-31.95730012727995,-70.00959900689531
7.575744377358138e-12,4.654741395406006,-4.857124745312149,-71.39258589140911,-42.232643265122476,-31.642493042936962,-69.00312034528133
7.575744377358138e-12,3.6582918694628574,-2.869958643966811,-71.2066323759326,-42.11309388425644,-32.72638621034878,-68.00667081933818
7.575744377358138e-12,15.805763179677683,-3.193369553800949,-70.94629000442683,-41.38147698251595,-31.977650356663617,-66.87989833470385
7.575744377358138e-12,20.069185202433914,-2.792050396857121,-67.5936032605822,-40.970967501126324,-31.98362552238291,-65.76568067937967
7.575744377358138e-12,31.959787925683713,-1.7910220411931732,-69.2466736893798,-40.7392104379889,-32.119283118055705,-64.66374115441869
7.575744377358138e-12,50.75854966674211,-1.9910583349294484,-66.09133086220038,-40.42093040911993,-32.79714496922668,-63.70940534972863
7.575744377358138e-12,57.08917083060942,-2.373341120718351,-64.78787355406428,-40.6359351956188,-32.685948238354456,-62.76409108535313
7.575744377358138e-12,57.758816190121536,-1.6699347570731788,-61.987326149798264,-40.18560972758485,-32.1550032484119,-61.69456217367838
7.575744377358138e-12,63.369742706935085,-1.1604613899585274,-61.44444528383724,-39.720928595431815,-32.253627107470834,-60.63635124062466
7.575744377358138e-12,66.91777756946294,-1.8886275652280347,-60.99725654569522,-39.37889055670553,-32.170155429653505,-59.45909761809793
7.575744377358138e-12,65.49748255166355,-3.703693381777839,-58.671698640513455,-39.027258160041754,-31.69703333755939,-58.038802600298595
7.575744377358138e-12,77.19136230477386,-3.1156076567990567,-56.229995118352235,-38.67507755990471,-31.661476391619487,-56.764900022555594
7.575744377358138e-12,78.47538685226078,-4.833617375951917,-57.33847678727909,-38.62636094961721,-31.993522676025634,-55.38209986182636
