DATES,LIP,UNEMP,LCPI,FFR,LPCOM,LRCDUR,LRCND,LRCSV,RRSHOCK,CUMRRSHOCK,CUMRRSHOCKORIG,BCSHOCK,CUMBCSHOCK,MP1_TC,FF4_TC,ED2_TC,ED3_TC,ED4_TC,GS1,EBP,szshock,rrshock83,cumrrshock83,rrshock83b,mp1_vr,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,wu_xia,lm1,lm2,ltr,lnbr,factor1,factor2,factor3,factor4,factor5
1967.833333,3.6151764,3.9,3.523415014,4.13,4.574195382,2.566102538,3.64424813,3.252233229,,,,,,,,,,,5.61,,1.3354,,,,,,,,,,,4.5,5.206202078,6.256133845,3.017738354,2.564872431,-0.144532119,-0.008781112,0.097885679,-0.131288726,-0.176940457
1967.916667,3.625889067,3.8,3.526360525,4.51,4.586802529,2.60165211,3.659064369,3.257557931,,,,,,,,,,,5.71,,1.5344,,,,,,,,,,,4.5,5.211124155,6.263017238,3.033509638,2.561250216,-0.719720448,-0.16738883,0.070448172,-0.034213358,-0.250058168
1968,3.624812822,3.7,3.529297384,4.6,4.587617027,2.623073117,3.657027525,3.265301291,,,,,,,,,,,5.43,,-0.17294,,,,,,,,,,,4.75,5.216564865,6.267959274,3.052915687,2.564410751,-0.43547713,-0.145168261,0.017529335,-0.0602595,-0.237336984
1968.083333,3.62838873,3.8,3.532225644,4.71,4.589040804,2.61776073,3.661713786,3.265454021,,,,,,,,,,,5.41,,-0.82165,,,,,,,,,,,4.75,5.218732887,6.273631439,3.057908632,2.55061636,0.290561145,0.072587275,0.071352444,-0.107171936,0.150283142
1968.166667,3.631504546,3.7,3.535145354,5.05,4.594614672,2.663262018,3.67703458,3.274083448,,,,,,,,,,,5.58,,1.11,,,,,,,,,,,5.25,5.223054882,6.278896588,3.05941105,2.527886315,-0.466154923,-0.007875003,-0.234226465,-0.034444362,0.142485525
1968.25,3.632951753,3.5,3.538056564,5.76,4.584967479,2.637913819,3.670817311,3.279029748,,,,,,,,,,,5.71,,3.1331,,,,,,,,,,,6.25,5.228967288,6.283574303,3.056027429,2.520273794,-0.207804693,0.044333334,-0.018749671,-0.102074993,-0.043586976
1968.333333,3.644106958,3.5,3.540959324,6.11,4.571406556,2.667089308,3.674374768,3.281437393,,,,,,,,,,,6.14,,0.4237,,,,,,,,,,,6.13,5.236441963,6.289530025,3.051545338,2.516808982,-0.266092331,0.057577248,-0.186031765,-0.125380449,0.208715031
1968.416667,3.647773565,3.7,3.546739687,6.07,4.566221436,2.662843608,3.687303212,3.290749875,,,,,,,,,,,5.98,,-1.4754,,,,,,,,,,,5.5,5.243861181,6.2963724,3.058800965,2.530278279,-0.352143007,-0.087794866,-0.017476428,-0.137397189,-0.185956336
1968.5,3.646238097,3.7,3.552486829,6.02,4.558707312,2.696517285,3.695855068,3.292906651,,,,,,,,,,,5.65,,-0.22449,,,,,,,,,,,6,5.249652195,6.301886107,3.0706542,2.559395502,-0.177158489,0.192821348,-0.188154097,0.019863036,-0.020924307
1968.583333,3.649025741,3.5,3.555348061,6.03,4.559649671,2.701361213,3.697046017,3.296133118,,,,,,,,,,,5.43,,0.069837,,,,,,,,,,,5.75,5.256453162,6.308826774,3.073942534,2.555287447,-0.045279659,0.189159139,-0.251534073,-0.04233791,0.06784951
