POIL,CPI,OILPROD,OILSTOCKS,WORLDIP,IP
18.145,145.6,60361.03,2120.067315,65.33345,68.1214
16.699,146,60424.87,2132.665092,65.52763,68.4089
14.51,146.3,60812.39,2142.871591,65.91041,68.7737
15,146.3,61069.47,2169.386906,65.88412,69.0299
14.78,146.7,60890.09,2147.146125,66.10151,69.0418
14.66,147.1,60798.96,2151.331635,66.62017,69.7582
16.38,147.2,60337.72,2147.524997,67.05152,70.125
17.88,147.5,60781.13,2149.682392,67.39914,70.4978
19.07,147.9,61096.41,2157.192079,67.90386,70.948
19.65,148.4,60697.02,2159.441125,68.06166,71.0595
18.38,149,60589.33,2158.010594,68.771,71.4749
17.46,149.3,61197.5,2176.533848,69.02196,71.7333
17.71,149.4,61695.07,2187.39332,69.5345,72.3479
18.1,149.8,61869.5,2188.777974,70.13919,72.8018
17.16,150.1,62190.97,2198.123545,70.92906,73.5563
17.99,150.5,61785.26,2174.643543,70.68312,73.6891
18.53,150.9,62304.91,2176.393052,70.82322,73.5889
18.55,151.2,61557,2168.498857,70.77904,73.6895
19.87,151.8,62358.57,2176.084436,71.09824,73.676
19.74,152.1,62363.32,2170.966213,70.81934,73.8858
18.42,152.4,61504.57,2204.203254,71.17081,74.1391
17.3,152.6,62457,2186.898366,71.0905,73.8447
18.03,152.9,62588.24,2162.532696,71.53848,74.7803
18.23,153.1,62983.16,2182.582122,71.54795,75.0755
17.44,153.5,62642.18,2179.23866,71.54622,74.9925
17.99,153.7,62840.53,2198.560277,71.91492,75.1822
19.04,153.9,63230.78,2173.618923,72.47737,75.4725
18.88,154.7,63160.36,2156.695076,72.33704,74.9823
19.07,155,63557.58,2173.29415,72.31602,76.153
21.36,155.5,63408.68,2158.120049,72.67715,76.0724
23.57,156.1,63261.11,2152.699334,72.96955,76.7608
21.25,156.4,63261.36,2159.898732,73.45469,77.3269
20.45,156.7,63580.93,2171.957182,73.56155,77.9694
21.32,157,63667.23,2163.407235,73.79122,77.8351
21.96,157.2,63338.8,2181.268081,74.09795,78.3005
23.99,157.7,63809.52,2162.577263,74.46932,78.8378
24.9,158.2,64166.66,2164.99676,74.68193,78.7843
23.71,158.7,64615.67,2157.876888,75.02154,79.4683
25.39,159.1,65188.73,2143.649214,75.42419,79.9829
25.17,159.4,65122.66,2168.713764,75.6689,80.0837
22.21,159.7,65479.55,2160.247894,76.0928,81.0483
20.99,159.8,65465.45,2178.369933,76.70824,81.6195
19.72,159.9,65991.06,2177.155563,77.12063,81.6408
20.83,159.9,65337.45,2171.751119,77.29124,82.1311
19.17,160.2,64567.02,2149.125931,77.98567,82.5332
19.63,160.4,65011.78,2142.779885,78.26832,83.1538
19.93,160.8,65891.94,2130.230966,78.61437,84.0293
19.79,161.2,66242.56,2141.244581,79.01007,84.7873
21.26,161.5,66760.5,2146.812354,79.54387,85.5125
20.17,161.7,66614.56,2189.351613,79.42459,86.2601
18.32,161.8,66427.56,2183.516644,79.37378,86.5262
16.71,162,67648.81,2182.028464,79.20504,86.9662
16.06,162,68016.56,2175.508375,79.82764,87.0687
15.02,162,67899,2160.509658,79.57973,87.1414
15.44,162.2,67761.19,2192.972225,79.52043,87.4497
14.86,162.6,67224.69,2220.392732,79.71391,88.0124
13.66,162.8,66948.69,2186.619223,79.55342,87.4571
14.08,163.2,66819.13,2189.776343,79.47076,87.1484
13.36,163.4,65829,2193.505299,79.74262,88.936
14.95,163.5,65915.69,2178.189487,79.93028,88.778
14.39,163.9,66034.44,2211.595763,80.16678,89.4857
12.85,164.1,66877.63,2210.546034,80.29716,89.4358
11.28,164.4,66701.5,2206.355388,80.20124,89.7761
12.47,164.7,66937.13,2230.484106,80.96566,90.1893
12.01,164.7,67258.75,2200.82638,80.49998,90.6683
14.66,164.8,66936.88,2200.448519,81.14822,90.831
17.34,165.9,65495.8,2193.856761,81.19733,91.0632
17.75,166,65303.43,2202.674976,81.95172,91.7311
17.89,166,64261.22,2201.760363,82.00256,91.5818
20.07,166.7,65774.5,2213.845815,82.57201,92.1587
21.26,167.1,65664.25,2199.890694,82.92876,92.5363
23.88,167.8,65708.44,2186.250676,83.46706,92.1699
22.64,168.1,66214.94,2178.372796,83.95022,93.3786
24.97,168.4,66194.06,2165.847443,84.74319,93.824
26.08,168.8,65383.96,2160.615552,85.53256,94.5441
27.18,169.3,66449.88,2155.938249,85.32319,94.5458
29.35,170,67041.63,2162.516758,85.63453,94.8185
29.89,171,67073.56,2145.682155,86.06507,95.1983
25.74,170.9,67735.19,2144.842366,86.91808,95.8921
28.78,171.2,68247.25,2131.059901,87.356,96.0691
31.83,172.2,68040.13,2141.902864,87.44335,96.1568
29.77,172.7,68665.06,2147.718724,87.75968,96.0239
31.22,172.7,69491.88,2151.498437,88.18536,95.7182
33.88,173.6,69501.44,2153.9453,87.98927,96.1105
33.08,173.9,69945.88,2141.038525,88.28094,95.8225
34.4,174.2,70501.31,2148.053677,88.60218,95.8391
28.46,174.6,69239.88,2169.439445,88.91891,95.5791
29.58,175.6,69158.38,2136.703266,87.7235,94.9499
29.61,176,68689.75,2101.506842,88.45318,94.369
27.24,176.1,69352.19,2142.383881,87.63068,94.1259
27.41,176.4,68419.19,2167.022331,87.24471,93.9061
28.64,177.3,67731.94,2150.730874,87.22691,93.2803
27.6,177.7,66173.25,2106.045028,87.01468,92.7057
26.45,177.4,68112.56,2126.258286,86.40942,92.1721
27.47,177.4,68286.63,2139.32327,86.88361,92.0023
25.88,178.1,67814.69,2146.674957,86.29089,91.6795
22.21,177.6,67716.5,2149.017815,86.00792,91.2682
19.67,177.5,68069.63,2147.187652,85.77643,90.7894
19.33,177.4,67653.31,2159.428485,85.84277,90.8311
19.67,177.7,66803.63,2172.92646,86.75288,91.3471
20.74,178,66897.13,2200.282244,86.51835,91.3672
24.42,178.5,66698.44,2187.383873,87.36117,92.1054
